Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz Ehot Ew Bperu Pe E Pmin Pmax
      23  0.00000E+00  0.00000E+000  8.20802E-023  1.46546E-016 -3.23580E-017 -2.65897E-017 -5.44236E-006  5.21506E-006 -4.00122E-006  4.03973E-009  9.41371E-009  9.55225E-010  2.56583E-009  8.18794E-008  2.70770E-010  3.90376E-007
      24  0.00000E+00  0.00000E+000  8.19733E-023  1.48151E-016 -3.53902E-017 -2.63795E-017 -5.38948E-006  5.30467E-006 -4.01100E-006  3.99803E-009  9.25441E-009  9.55826E-010  2.53935E-009  8.23862E-008  2.70501E-010  3.74744E-007
      25  0.00000E+00  0.00000E+000  8.18554E-023  1.49593E-016 -3.83936E-017 -2.61242E-017 -5.33352E-006  5.39267E-006 -4.02058E-006  3.95603E-009  9.09534E-009  9.56653E-010  2.51268E-009  8.28711E-008  2.69939E-010  3.59674E-007
      26  0.00000E+00  0.00000E+000  8.17263E-023  1.50874E-016 -4.13630E-017 -2.58243E-017 -5.27451E-006  5.47898E-006 -4.02994E-006  3.91376E-009  8.93659E-009  9.57688E-010  2.48583E-009  8.33339E-008  2.69457E-010  3.45120E-007
      27  0.00000E+00  0.00000E+000  8.15860E-023  1.52000E-016 -4.42940E-017 -2.54806E-017 -5.21251E-006  5.56353E-006 -4.03905E-006  3.87124E-009  8.77823E-009  9.58906E-010  2.45882E-009  8.37742E-008  2.69061E-010  3.31050E-007
      28  0.00000E+00  0.00000E+000  8.14343E-023  1.52975E-016 -4.71818E-017 -2.50936E-017 -5.14754E-006  5.64621E-006 -4.04788E-006  3.82849E-009  8.62033E-009  9.60270E-010  2.43168E-009  8.41917E-008  2.68755E-010  3.17441E-007
      29  0.00000E+00  0.00000E+000  8.12714E-023  1.53803E-016 -5.00221E-017 -2.46638E-017 -5.07966E-006  5.72697E-006 -4.05642E-006  3.78554E-009  8.46296E-009  9.61737E-010  2.40440E-009  8.45864E-008  2.68540E-010  3.04285E-007
      30  0.00000E+00  0.00000E+000  8.10970E-023  1.54491E-016 -5.28110E-017 -2.41921E-017 -5.00890E-006  5.80570E-006 -4.06462E-006  3.74241E-009  8.30619E-009  9.63249E-010  2.37702E-009  8.49580E-008  2.68412E-010  2.91577E-007
      31  0.00000E+00  0.00000E+000  8.09112E-023  1.55044E-016 -5.55449E-017 -2.36796E-017 -4.93532E-006  5.88233E-006 -4.07245E-006  3.69914E-009  8.15010E-009  9.64746E-010  2.34954E-009  8.53063E-008  2.68358E-010  2.79302E-007
      32  0.00000E+00  0.00000E+000  8.07139E-023  1.55471E-016 -5.82204E-017 -2.31270E-017 -4.85896E-006  5.95679E-006 -4.07990E-006  3.65573E-009  7.99476E-009  9.66161E-010  2.32197E-009  8.56312E-008  2.68362E-010  2.67460E-007
