Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz Ehot Ew Bperu Pe E Pmin Pmax
      23  0.00000E+00  0.00000E+000  3.10059E-020  1.24831E-014 -1.30065E-015 -4.92747E-015 -6.24859E-006  6.42186E-005 -2.31743E-005  1.62220E-006  2.04950E-005  9.30844E-006  3.20165E-006  2.68534E-005  1.70977E-006  1.20700E-002
      24  0.00000E+00  0.00000E+000  3.09977E-020  1.28320E-014 -1.38165E-015 -5.10047E-015 -5.16518E-006  6.47477E-005 -2.28820E-005  1.61552E-006  2.00076E-005  1.02865E-005  3.19015E-006  2.67646E-005  1.68879E-006  1.21127E-002
      25  0.00000E+00  0.00000E+000  3.09897E-020  1.31671E-014 -1.46559E-015 -5.27134E-015 -3.95201E-006  6.50585E-005 -2.24672E-005  1.60853E-006  1.95326E-005  1.01677E-005  3.17830E-006  2.66659E-005  1.66761E-006  1.21524E-002
      26  0.00000E+00  0.00000E+000  3.09819E-020  1.34882E-014 -1.55175E-015 -5.43972E-015 -2.61063E-006  6.51510E-005 -2.19310E-005  1.60128E-006  1.90692E-005  9.84094E-006  3.16616E-006  2.65584E-005  1.64625E-006  1.21888E-002
      27  0.00000E+00  0.00000E+000  3.09742E-020  1.37952E-014 -1.64113E-015 -5.60540E-015 -1.14167E-006  6.50267E-005 -2.12734E-005  1.59377E-006  1.86166E-005  9.23507E-006  3.15378E-006  2.64428E-005  1.62468E-006  1.22226E-002
      28  0.00000E+00  0.00000E+000  3.09668E-020  1.40874E-014 -1.73272E-015 -5.76751E-015  4.50558E-007  6.46850E-005 -2.04966E-005  1.58603E-006  1.81743E-005  8.52231E-006  3.14120E-006  2.63200E-005  1.60291E-006  1.22542E-002
      29  0.00000E+00  0.00000E+000  3.09594E-020  1.43647E-014 -1.82689E-015 -5.92617E-015  2.16380E-006  6.41266E-005 -1.96032E-005  1.57808E-006  1.77417E-005  7.96496E-006  3.12846E-006  2.61906E-005  1.58095E-006  1.22839E-002
      30  0.00000E+00  0.00000E+000  3.09522E-020  1.46267E-014 -1.92309E-015 -6.08089E-015  4.00663E-006  6.33559E-005 -1.85929E-005  1.56993E-006  1.73184E-005  7.11687E-006  3.11559E-006  2.60551E-005  1.55884E-006  1.23353E-002
      31  0.00000E+00  0.00000E+000  3.09450E-020  1.48741E-014 -2.02136E-015 -6.23155E-015  5.97282E-006  6.23732E-005 -1.74687E-005  1.56161E-006  1.69040E-005  6.44421E-006  3.10263E-006  2.59142E-005  1.53657E-006  1.23868E-002
      32  0.00000E+00  0.00000E+000  3.09379E-020  1.51068E-014 -2.12081E-015 -6.37783E-015  8.06237E-006  6.11796E-005 -1.62324E-005  1.55311E-006  1.64980E-005  5.91078E-006  3.08959E-006  2.57681E-005  1.51369E-006  1.24374E-002
      33  0.00000E+00  0.00000E+000  3.09308E-020  1.53255E-014 -2.22189E-015 -6.52004E-015  1.02720E-005  5.97753E-005 -1.48852E-005  1.54445E-006  1.61001E-005  5.46287E-006  3.07650E-006  2.56175E-005  1.48996E-006  1.24872E-002
      34  0.00000E+00  0.00000E+000  3.09237E-020  1.55300E-014 -2.32350E-015 -6.65784E-015  1.26012E-005  5.81608E-005 -1.34280E-005  1.53565E-006  1.57100E-005  5.53682E-006  3.06339E-006  2.54627E-005  1.46587E-006  1.25364E-002
      35  0.00000E+00  0.00000E+000  3.09165E-020  1.57208E-014 -2.42613E-015 -6.79145E-015  1.50504E-005  5.63367E-005 -1.18620E-005  1.52672E-006  1.53274E-005  5.07370E-006  3.05026E-006  2.53041E-005  1.44142E-006  1.25851E-002
      36  0.00000E+00  0.00000E+000  3.09092E-020  1.58978E-014 -2.52905E-015 -6.92073E-015  1.76181E-005  5.43037E-005 -1.01886E-005  1.51765E-006  1.49521E-005  4.73263E-006  3.03714E-006  2.51420E-005  1.41665E-006  1.26334E-002
      37  0.00000E+00  0.00000E+000  3.09018E-020  1.60606E-014 -2.63279E-015 -7.04559E-015  2.03035E-005  5.20618E-005 -8.40938E-006  1.50846E-006  1.45837E-005  4.45646E-006  3.02404E-006  2.49768E-005  1.38973E-006  1.26811E-002
      38  0.00000E+00  0.00000E+000  3.08941E-020  1.62104E-014 -2.73632E-015 -7.16594E-015  2.31055E-005  4.96114E-005 -6.52626E-006  1.49915E-006  1.42221E-005  4.15691E-006  3.01096E-006  2.48086E-005  1.36211E-006  1.27290E-002
      39  0.00000E+00  0.00000E+000  3.08862E-020  1.63466E-014 -2.84027E-015 -7.28172E-015  2.60235E-005  4.69531E-005 -4.54091E-006  1.48973E-006  1.38670E-005  3.92811E-006  2.99793E-006  2.46376E-005  1.33432E-006  1.27764E-002
      40  0.00000E+00  0.00000E+000  3.08778E-020  1.64702E-014 -2.94343E-015 -7.39266E-015  2.90586E-005  4.40872E-005 -2.45502E-006  1.48020E-006  1.35183E-005  3.78438E-006  2.98492E-006  2.44640E-005  1.30640E-006  1.28239E-002
      41  0.00000E+00  0.00000E+000  3.08692E-020  1.65810E-014 -3.04684E-015 -7.49905E-015  3.22110E-005  4.10143E-005 -2.69104E-007  1.47057E-006  1.31757E-005  3.65658E-006  2.97198E-006  2.42878E-005  1.27864E-006  1.28708E-002
      42  0.00000E+00  0.00000E+000  3.08600E-020  1.66800E-014 -3.14908E-015 -7.60070E-015  3.54811E-005  3.77341E-005  2.01553E-006  1.46084E-006  1.28392E-005  3.25109E-006  2.95908E-006  2.41094E-005  1.25116E-006  1.29180E-002
      43  0.00000E+00  0.00000E+000  3.08503E-020  1.67665E-014 -3.25156E-015 -7.69808E-015  3.88697E-005  3.42466E-005  4.39697E-006  1.45101E-006  1.25085E-005  2.59927E-006  2.94626E-006  2.39287E-005  1.22404E-006  1.29647E-002
      44  0.00000E+00  0.00000E+000  3.08400E-020  1.68422E-014 -3.35256E-015 -7.79084E-015  4.23764E-005  3.05529E-005  6.87425E-006  1.44109E-006  1.21835E-005  2.23351E-006  2.93350E-006  2.37459E-005  1.19733E-006  1.30115E-002
