Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz Ehot Ew Bperu Pe E Pmin Pmax
      98  0.00000E+00  0.00000E+000  2.80146E-020  1.30595E-014 -3.62151E-015 -6.47727E-015  3.99047E-004 -4.43851E-004  2.30119E-004  8.71827E-007  1.80281E-006 -5.56550E-007  2.39509E-006  1.24874E-005  8.91827E-008  2.45142E-002
      99  0.00000E+00  0.00000E+000  2.79284E-020  1.28814E-014 -3.60141E-015 -6.34464E-015  4.06760E-004 -4.55948E-004  2.35112E-004  8.63663E-007  1.72874E-006 -4.14916E-007  2.38914E-006  1.23041E-005  8.49850E-008  2.46239E-002
     100  0.00000E+00  0.00000E+000  2.78417E-020  1.27074E-014 -3.58422E-015 -6.20996E-015  4.14355E-004 -4.67987E-004  2.40126E-004  8.55632E-007  1.65790E-006 -4.31192E-007  2.38333E-006  1.21231E-005  8.02407E-008  2.47310E-002
     101  0.00000E+00  0.00000E+000  2.77546E-020  1.25386E-014 -3.57518E-015 -6.07485E-015  4.21817E-004 -4.79948E-004  2.45157E-004  8.47745E-007  1.59027E-006 -9.36945E-007  2.37770E-006  1.19445E-005  7.62974E-008  2.48357E-002
     102  0.00000E+00  0.00000E+000  2.76673E-020  1.23738E-014 -3.56827E-015 -5.93852E-015  4.29130E-004 -4.91811E-004  2.50202E-004  8.40013E-007  1.52579E-006 -1.30509E-006  2.37221E-006  1.17686E-005  7.30934E-008  2.49384E-002
     103  0.00000E+00  0.00000E+000  2.75799E-020  1.22135E-014 -3.56860E-015 -5.80273E-015  4.36280E-004 -5.03553E-004  2.55253E-004  8.32447E-007  1.46445E-006 -1.53359E-006  2.36691E-006  1.15956E-005  6.94906E-008  2.50389E-002
     104  0.00000E+00  0.00000E+000  2.74927E-020  1.20569E-014 -3.57014E-015 -5.66653E-015  4.43248E-004 -5.15150E-004  2.60304E-004  8.25057E-007  1.40619E-006 -1.50820E-006  2.36178E-006  1.14257E-005  6.55839E-008  2.51374E-002
     105  0.00000E+00  0.00000E+000  2.74059E-020  1.19040E-014 -3.57746E-015 -5.53179E-015  4.50018E-004 -5.26575E-004  2.65346E-004  8.17854E-007  1.35099E-006 -1.47176E-006  2.35684E-006  1.12591E-005  6.21767E-008  2.52342E-002
     106  0.00000E+00  0.00000E+000  2.73195E-020  1.17537E-014 -3.58429E-015 -5.39787E-015  4.56572E-004 -5.37798E-004  2.70369E-004  8.10849E-007  1.29878E-006 -2.18950E-006  2.35209E-006  1.10961E-005  5.91941E-008  2.53291E-002
     107  0.00000E+00  0.00000E+000  2.72340E-020  1.16064E-014 -3.59493E-015 -5.26670E-015  4.62890E-004 -5.48786E-004  2.75359E-004  8.04052E-007  1.24954E-006 -2.56379E-006  2.34755E-006  1.09368E-005  5.62908E-008  2.54225E-002
     108  0.00000E+00  0.00000E+000  2.71494E-020  1.14612E-014 -3.60308E-015 -5.13764E-015  4.68951E-004 -5.59496E-004  2.80298E-004  7.97475E-007  1.20322E-006 -2.57542E-006  2.34320E-006  1.07816E-005  5.30753E-008  2.55144E-002
     109  0.00000E+00  0.00000E+000  2.70661E-020  1.13182E-014 -3.61325E-015 -5.01289E-015  4.74734E-004 -5.69888E-004  2.85168E-004  7.91126E-007  1.15976E-006 -2.58064E-006  2.33908E-006  1.06306E-005  5.02518E-008  2.56049E-002
     110  0.00000E+00  0.00000E+000  2.69842E-020  1.11771E-014 -3.61871E-015 -4.89207E-015  4.80225E-004 -5.79919E-004  2.89948E-004  7.85016E-007  1.11911E-006 -2.45130E-006  2.33516E-006  1.04841E-005  4.74773E-008  2.56941E-002
     111  0.00000E+00  0.00000E+000  2.69040E-020  1.10383E-014 -3.62435E-015 -4.77733E-015  4.85409E-004 -5.89546E-004  2.94618E-004  7.79155E-007  1.08119E-006 -2.54087E-006  2.33147E-006  1.03423E-005  4.44713E-008  2.57821E-002
     112  0.00000E+00  0.00000E+000  2.68259E-020  1.09012E-014 -3.62343E-015 -4.66836E-015  4.90275E-004 -5.98722E-004  2.99159E-004  7.73549E-007  1.04592E-006 -2.52197E-006  2.32800E-006  1.02055E-005  4.18408E-008  2.58688E-002
     113  0.00000E+00  0.00000E+000  2.67501E-020  1.07668E-014 -3.62062E-015 -4.56728E-015  4.94816E-004 -6.07395E-004  3.03547E-004  7.68207E-007  1.01322E-006 -3.79004E-006  2.32477E-006  1.00739E-005  3.94339E-008  2.59543E-002
     114  0.00000E+00  0.00000E+000  2.66769E-020  1.06344E-014 -3.60971E-015 -4.47419E-015  4.99028E-004 -6.15518E-004  3.07765E-004  7.63135E-007  9.82984E-007 -3.36529E-006  2.32176E-006  9.94763E-006  3.67944E-008  2.60388E-002
     115  0.00000E+00  0.00000E+000  2.66066E-020  1.05051E-014 -3.59612E-015 -4.39087E-015  5.02912E-004 -6.23046E-004  3.11797E-004  7.58340E-007  9.55101E-007 -3.70643E-006  2.31899E-006  9.82691E-006  3.45036E-008  2.61224E-002
     116  0.00000E+00  0.00000E+000  2.65394E-020  1.03784E-014 -3.57413E-015 -4.31585E-015  5.06471E-004 -6.29938E-004  3.15629E-004  7.53822E-007  9.29454E-007 -3.40475E-006  2.31644E-006  9.71178E-006  3.19821E-008  2.62051E-002
     117  0.00000E+00  0.00000E+000  2.64757E-020  1.02550E-014 -3.55054E-015 -4.25066E-015  5.09713E-004 -6.36163E-004  3.19253E-004  7.49586E-007  9.05921E-007 -3.22084E-006  2.31413E-006  9.60230E-006  2.97552E-008  2.62870E-002
     118  0.00000E+00  0.00000E+000  2.64154E-020  1.01342E-014 -3.52134E-015 -4.19301E-015  5.12647E-004 -6.41700E-004  3.22663E-004  7.45629E-007  8.84380E-007 -3.05412E-006  2.31205E-006  9.49842E-006  2.78808E-008  2.63681E-002
     119  0.00000E+00  0.00000E+000  2.63589E-020  1.00163E-014 -3.49339E-015 -4.14372E-015  5.15287E-004 -6.46537E-004  3.25854E-004  7.41949E-007  8.64707E-007 -3.08871E-006  2.31019E-006  9.40009E-006  2.58555E-008  2.64486E-002
     120  0.00000E+00  0.00000E+000  2.63059E-020  9.90070E-015 -3.46262E-015 -4.10037E-015  5.17649E-004 -6.50672E-004  3.28825E-004  7.38541E-007  8.46780E-007 -3.04997E-006  2.30855E-006  9.30714E-006  2.39332E-008  2.65283E-002
     121  0.00000E+00  0.00000E+000  2.62568E-020  9.78753E-015 -3.43540E-015 -4.06338E-015  5.19751E-004 -6.54114E-004  3.31576E-004  7.35398E-007  8.30481E-007 -3.27741E-006  2.30713E-006  9.21946E-006  2.23692E-008  2.66074E-002
     122  0.00000E+00  0.00000E+000  2.62112E-020  9.67513E-015 -3.40616E-015 -4.03037E-015  5.21608E-004 -6.56877E-004  3.34107E-004  7.32511E-007  8.15695E-007 -3.11877E-006  2.30591E-006  9.13682E-006  2.11988E-008  2.66859E-002
     123  0.00000E+00  0.00000E+000  2.61693E-020  9.56350E-015 -3.38150E-015 -4.00178E-015  5.23241E-004 -6.58997E-004  3.36424E-004  7.29871E-007  8.02311E-007 -3.24465E-006  2.30489E-006  9.05904E-006  2.03643E-008  2.67638E-002
     124  0.00000E+00  0.00000E+000  2.61307E-020  9.45044E-015 -3.35544E-015 -3.97516E-015  5.24673E-004 -6.60526E-004  3.38540E-004  7.27467E-007  7.90221E-007 -3.30556E-006  2.30405E-006  8.98584E-006  1.94083E-008  2.68411E-002
     125  0.00000E+00  0.00000E+000  2.60955E-020  9.33628E-015 -3.33441E-015 -3.95057E-015  5.25931E-004 -6.61528E-004  3.40474E-004  7.25284E-007  7.79325E-007 -3.40620E-006  2.30340E-006  8.91700E-006  1.84826E-008  2.69180E-002
     126  0.00000E+00  0.00000E+000  2.60632E-020  9.21919E-015 -3.31271E-015 -3.92598E-015  5.27037E-004 -6.62072E-004  3.42245E-004  7.23307E-007  7.69527E-007 -3.39773E-006  2.30290E-006  8.85221E-006  1.77665E-008  2.69942E-002
     127  0.00000E+00  0.00000E+000  2.60338E-020  9.09857E-015 -3.29692E-015 -3.90098E-015  5.28014E-004 -6.62233E-004  3.43872E-004  7.21523E-007  7.60736E-007 -3.56181E-006  2.30256E-006  8.79126E-006  1.70900E-008  2.70700E-002
     128  0.00000E+00  0.00000E+000  2.60069E-020  8.97272E-015 -3.28157E-015 -3.87424E-015  5.28883E-004 -6.62084E-004  3.45378E-004  7.19916E-007  7.52867E-007 -3.45008E-006  2.30237E-006  8.73384E-006  1.67129E-008  2.71453E-002
     129  0.00000E+00  0.00000E+000  2.59824E-020  8.84134E-015 -3.27255E-015 -3.84579E-015  5.29663E-004 -6.61698E-004  3.46783E-004  7.18474E-007  7.45844E-007 -3.51231E-006  2.30231E-006  8.67981E-006  1.65807E-008  2.72202E-002
     130  0.00000E+00  0.00000E+000  2.59598E-020  8.70305E-015 -3.26582E-015 -3.81367E-015  5.30369E-004 -6.61141E-004  3.48107E-004  7.17180E-007  7.39594E-007 -3.31461E-006  2.30237E-006  8.62881E-006  1.61518E-008  2.72945E-002
     131  0.00000E+00  0.00000E+000  2.59392E-020  8.55778E-015 -3.26768E-015 -3.77861E-015  5.31015E-004 -6.60474E-004  3.49366E-004  7.16027E-007  7.34051E-007 -3.24568E-006  2.30254E-006  8.58073E-006  1.59231E-008  2.73684E-002
     132  0.00000E+00  0.00000E+000  2.59203E-020  8.40401E-015 -3.27150E-015 -3.73934E-015  5.31612E-004 -6.59745E-004  3.50578E-004  7.15002E-007  7.29151E-007 -3.44252E-006  2.30281E-006  8.53534E-006  1.58980E-008  2.74419E-002
     133  0.00000E+00  0.00000E+000  2.59030E-020  8.24186E-015 -3.28425E-015 -3.69697E-015  5.32168E-004 -6.58991E-004  3.51752E-004  7.14099E-007  7.24840E-007 -3.00547E-006  2.30319E-006  8.49254E-006  1.60447E-008  2.75149E-002
     134  0.00000E+00  0.00000E+000  2.58871E-020  8.07023E-015 -3.29876E-015 -3.65086E-015  5.32685E-004 -6.58236E-004  3.52898E-004  7.13311E-007  7.21064E-007 -2.93247E-006  2.30365E-006  8.45212E-006  1.62289E-008  2.75875E-002
     135  0.00000E+00  0.00000E+000  2.58728E-020  7.88957E-015 -3.32164E-015 -3.60210E-015  5.33166E-004 -6.57493E-004  3.54017E-004  7.12634E-007  7.17777E-007 -3.05959E-006  2.30421E-006  8.41403E-006  1.64040E-008  2.76597E-002
     136  0.00000E+00  0.00000E+000  2.58598E-020  7.69902E-015 -3.34517E-015 -3.55059E-015  5.33612E-004 -6.56764E-004  3.55108E-004  7.12061E-007  7.14937E-007 -3.02205E-006  2.30485E-006  8.37809E-006  1.67032E-008  2.77316E-002
     137  0.00000E+00  0.00000E+000  2.58483E-020  7.49941E-015 -3.37515E-015 -3.49762E-015  5.34021E-004 -6.56045E-004  3.56166E-004  7.11591E-007  7.12505E-007 -2.88572E-006  2.30559E-006  8.34430E-006  1.68370E-008  2.78030E-002
     138  0.00000E+00  0.00000E+000  2.58380E-020  7.29051E-015 -3.40553E-015 -3.44293E-015  5.34394E-004 -6.55331E-004  3.57183E-004  7.11219E-007  7.10444E-007 -2.93323E-006  2.30638E-006  8.31242E-006  1.68212E-008  2.78815E-002
     139  0.00000E+00  0.00000E+000  2.58290E-020  7.07390E-015 -3.44246E-015 -3.38782E-015  5.34734E-004 -6.54612E-004  3.58152E-004  7.10940E-007  7.08720E-007 -2.62624E-006  2.30727E-006  8.28246E-006  1.69464E-008  2.79603E-002
     140  0.00000E+00  0.00000E+000  2.58212E-020  6.84923E-015 -3.47798E-015 -3.33213E-015  5.35040E-004 -6.53881E-004  3.59066E-004  7.10751E-007  7.07302E-007 -2.87333E-006  2.30821E-006  8.25427E-006  1.65730E-008  2.80389E-002
     141  0.00000E+00  0.00000E+000  2.58147E-020  6.61921E-015 -3.51928E-015 -3.27687E-015  5.35318E-004 -6.53130E-004  3.59918E-004  7.10649E-007  7.06162E-007 -2.74897E-006  2.30923E-006  8.22782E-006  1.61745E-008  2.81174E-002
     142  0.00000E+00  0.00000E+000  2.58094E-020  6.38334E-015 -3.55769E-015 -3.22217E-015  5.35570E-004 -6.52352E-004  3.60702E-004  7.10627E-007  7.05273E-007 -2.88910E-006  2.31032E-006  8.20300E-006  1.58816E-008  2.81957E-002
     143  0.00000E+00  0.00000E+000  2.58053E-020  6.14417E-015 -3.60222E-015 -3.16833E-015  5.35801E-004 -6.51538E-004  3.61416E-004  7.10682E-007  7.04612E-007 -3.34721E-006  2.31146E-006  8.17970E-006  1.54794E-008  2.82738E-002
     144  0.00000E+00  0.00000E+000  2.58021E-020  5.90193E-015 -3.64419E-015 -3.11573E-015  5.36012E-004 -6.50685E-004  3.62057E-004  7.10807E-007  7.04155E-007 -1.80559E-006  2.31266E-006  8.15783E-006  1.51019E-008  2.83516E-002
     145  0.00000E+00  0.00000E+000  2.58000E-020  5.65896E-015 -3.69046E-015 -3.06424E-015  5.36208E-004 -6.49787E-004  3.62622E-004  7.11000E-007  7.03885E-007 -2.64569E-006  2.31391E-006  8.13735E-006  1.48436E-008  2.84293E-002
     146  0.00000E+00  0.00000E+000  2.57988E-020  5.41557E-015 -3.73293E-015 -3.01376E-015  5.36390E-004 -6.48841E-004  3.63115E-004  7.11254E-007  7.03784E-007 -2.63038E-006  2.31520E-006  8.11814E-006  1.46798E-008  2.85068E-002
     147  0.00000E+00  0.00000E+000  2.57987E-020  5.17359E-015 -3.77849E-015 -2.96544E-015  5.36559E-004 -6.47844E-004  3.63535E-004  7.11566E-007  7.03837E-007 -2.77475E-006  2.31656E-006  8.10020E-006  1.46225E-008  2.85840E-002
     148  0.00000E+00  0.00000E+000  2.57993E-020  4.93357E-015 -3.82037E-015 -2.91824E-015  5.36716E-004 -6.46794E-004  3.63888E-004  7.11930E-007  7.04032E-007 -2.33456E-006  2.31794E-006  8.08334E-006  1.46045E-008  2.86610E-002
     149  0.00000E+00  0.00000E+000  2.58007E-020  4.69688E-015 -3.86542E-015 -2.87304E-015  5.36860E-004 -6.45695E-004  3.64175E-004  7.12343E-007  7.04354E-007 -2.29648E-006  2.31937E-006  8.06757E-006  1.45699E-008  2.87377E-002
     150  0.00000E+00  0.00000E+000  2.58029E-020  4.46349E-015 -3.90451E-015 -2.82945E-015  5.36994E-004 -6.44546E-004  3.64403E-004  7.12798E-007  7.04793E-007 -2.35016E-006  2.32083E-006  8.05282E-006  1.45917E-008  2.88143E-002
